# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar  5 09:26:24 2023
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN especlipdep:    Eclipse Depth [percentage]
# COLUMN especlipdeperr1: Eclipse Depth Upper Unc. [percentage]
# COLUMN especlipdeperr2: Eclipse Depth Lower Unc. [percentage]
# COLUMN especlipdeplim: Eclipse Depth Limit Flag
# COLUMN espbritemp:     Brightness temperature [K]
# COLUMN espbritemperr1: Brightness temperature Upper Unc. [K]
# COLUMN espbritemperr2: Brightness temperature Lower Unc. [K]
# COLUMN espbritemplim:  Brightness temperature Limit Flag
# COLUMN plntreflink:    Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
TrES-1 b,8.0000,2.9050,0.213000,0.042000,-0.042000,0,1190,130,-130,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
TrES-1 b,16.0000,,0.330000,0.120000,-0.120000,0,1270,310,-310,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-32 b,2.1500,,0.178000,0.057000,-0.057000,0,2096,206,-180,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,Wide-field Infra-Red Camera (WIRC)
HAT-P-32 b,1.6350,,0.090000,0.033000,-0.033000,0,2065,191,-155,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,Wide-field Infra-Red Camera (WIRC)
HAT-P-32 b,3.6000,,0.364000,0.016000,-0.016000,0,2063,36,-36,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-32 b,4.5000,,0.438000,0.020000,-0.020000,0,2014,41,-41,0,<a refstr=ZHAO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796..115Z/abstract target=ref>Zhao et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-43 b,0.7630,,0.037000,0.023000,-0.021000,0,2225,139,-225,0,<a refstr=CHEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..40C/abstract target=ref> Chen et al. 2014</a>,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,GROND
WASP-43 b,2.1900,0.3900,0.197000,0.042000,-0.042000,0,1878,108,-116,0,<a refstr=CHEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..40C/abstract target=ref> Chen et al. 2014</a>,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,GROND
WASP-19 b,0.8660,0.1300,0.080000,0.029000,-0.029000,0,,,,,<a refstr=ZHOU_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774..118Z/abstract target=ref> Zhou et al. 2013</a>,Las Cumbres Observatory Global Telescope Network (LCOGTN) 2m Faulkes Telescope South at Siding Spring Observatory (SSO),Merope 2Kx2K
WASP-3 b,0.6500,,0.023000,0.044000,-0.044000,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
TrES-3 b,0.6500,,-0.020000,0.041000,-0.041000,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
TrES-2 b,0.6500,,0.023000,0.071000,-0.071000,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
TrES-2 b,2.1460,,0.062000,0.013000,-0.011000,0,1636,79,-88,0,<a refstr=CROLL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...717.1084C/abstract target=ref> Croll et al. 2010 </a>,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,Wide-field Infrared Camera (WIRCam)
HD 189733 b,8.0000,,0.344000,0.003600,-0.003600,0,,,,,<a refstr=AGOL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...721.1861A/abstract target=ref> Agol et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-4 b,0.6500,,-0.006900,0.039700,-0.039700,0,,,,,<a refstr=CHRISTIANSEN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...94C/abstract target=ref> Christiansen et al. 2011 </a>,Deep Impact spacecraft,High Resolution Imager (HRI)
GJ 436 b,8.0000,,0.057000,0.008000,-0.008000,0,712,36,-36,0,<a refstr=DEMING_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...667L.199D/abstract target=ref> Deming et al. 2007 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-2 b,4.5000,,0.510000,0.041000,-0.040000,0,,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-2 b,8.0000,,0.410000,0.110000,-0.110000,0,,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
CoRoT-1 b,2.1470,,0.336000,0.042000,-0.042000,0,2460,80,-160,0,<a refstr=ROGERS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707.1707R/abstract target=ref> Rogers et al. 2009 </a>,Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),Near-Infrared Camera & Fabry-Perot Spectrometer (NIC-FPS)
CoRoT-1 b,2.0950,0.0200,0.278000,0.043000,-0.066000,0,,,,,<a refstr=GILLON_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..359G/abstract target=ref> Gillon et al. 2009 </a>,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,High Acuity Wide-field K-band Imager (HAWK-I)
WASP-121 b,1.1310,0.0190,0.092100,0.008100,-0.008100,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.1500,0.0180,0.081300,0.009400,-0.009500,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.1680,0.0190,0.097800,0.009100,-0.009000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.1870,0.0180,0.096300,0.009000,-0.009300,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.2060,0.0190,0.116300,0.007900,-0.007900,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.2240,0.0190,0.120200,0.007800,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.2430,0.0180,0.110900,0.008700,-0.008700,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.2610,0.0190,0.098900,0.007900,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.2800,0.0180,0.114300,0.008000,-0.008000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.2980,0.0190,0.096600,0.008800,-0.008800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.3170,0.0180,0.100000,0.008900,-0.008600,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.3360,0.0190,0.113300,0.009500,-0.009400,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.3550,0.0190,0.116300,0.007800,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.3730,0.0180,0.118500,0.007800,-0.007800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.3910,0.0190,0.132100,0.008900,-0.008800,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.4100,0.0180,0.147000,0.008100,-0.008000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.4290,0.0190,0.128100,0.009000,-0.009200,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.4470,0.0180,0.123800,0.009200,-0.009400,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.4660,0.0190,0.119100,0.009400,-0.009400,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.4850,0.0190,0.127900,0.009500,-0.010000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.5030,0.0180,0.147900,0.008600,-0.008500,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.5220,0.0190,0.140800,0.008600,-0.008500,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
